timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_accuracy_m
1788350498001,-0.86129,2.25465,-1.79921,0.945903,-0.033206,-0.427927,,,
1788350498001,-0.69901,2.08091,-1.59007,1.039445,-0.539846,-0.685171,,,
1788350498001,-0.69901,2.08091,-1.59007,1.039445,-0.539846,-0.685171,,,
1788350498001,-0.23828,1.84663,-0.78765,0.743916,-0.529054,-0.640962,,,
1788350499001,-0.08914,1.76806,-0.35594,0.507217,-0.485749,-0.555647,13.1387426,77.5811435,8.00
1788350499001,-0.13356,1.49115,0.29344,0.369492,-0.463036,-0.519951,,,
1788350499001,-0.16873,1.12409,0.80641,0.246972,-0.338048,-0.695411,,,
1788350499001,0.04835,0.27354,0.86813,0.242287,-0.127636,-0.816442,,,
1788350499001,0.14798,-0.41686,0.98655,0.154086,-0.147576,-0.462813,,,
1788350499001,0.14798,-0.41686,0.98655,0.154086,-0.147576,-0.462813,,,
1788350499001,0.08493,-0.68847,0.87268,-0.103535,-0.111072,0.021475,,,
1788350499001,-0.05751,-0.12514,0.69883,-0.309846,-0.404061,0.243809,,,
1788350499001,0.32193,0.12079,0.62755,-0.566042,-0.386970,0.278735,,,
1788350499001,0.52721,-0.30558,0.45816,-0.734626,-0.336279,0.162536,,,
1788350499001,0.40229,-0.12239,0.75997,-0.849292,-0.107537,-0.234950,,,
1788350499001,1.04387,-0.46105,0.67078,-0.866902,-0.161896,0.193793,,,
1788350499001,1.04387,-0.46105,0.67078,-0.866902,-0.161896,0.193793,,,
1788350499001,0.37416,-0.82546,-0.23000,-0.340755,-0.034750,0.539350,,,
1788350499001,-0.04490,-1.00390,-0.03193,-0.021493,0.250448,0.811577,,,
1788350499001,-0.80090,-0.58005,-0.10212,0.148704,0.692425,0.629662,,,
1788350499001,-0.53879,-0.72493,0.25678,0.130151,0.654986,0.386848,,,
1788350499001,0.03536,-0.98296,0.23985,-0.140787,0.458391,0.332987,,,
1788350499001,-0.00275,-0.84015,-0.18548,-0.150672,-0.328999,0.167420,,,
1788350499001,-0.00275,-0.84015,-0.18548,-0.150672,-0.328999,0.167420,,,
1788350499001,-0.10583,-0.01488,-0.70491,0.079498,-0.595893,0.055971,,,
1788350499001,-0.40001,-0.13946,-0.82042,0.342015,-0.603584,-0.061114,,,
1788350499001,-0.16757,-0.63246,-0.14289,0.332759,-0.204689,0.114474,,,
1788350499001,0.05114,-0.29802,-0.38172,0.437998,0.307005,0.320145,,,
1788350499001,0.29130,-0.09969,0.34468,0.529804,0.185033,0.305894,,,
1788350499001,0.56176,-0.32497,0.98316,0.320738,-0.003273,0.322765,,,
1788350499001,0.56176,-0.32497,0.98316,0.320738,-0.003273,0.322765,,,
1788350499001,0.29213,-0.83775,1.18184,-0.015131,0.012104,0.469985,,,
1788350499001,-0.00244,-0.81882,0.88169,-0.028836,0.176297,0.507382,,,
