timestamp_ms,lat,lon,accuracy_m
1788571259002,13.2791361,77.6232827,4.66
1788571260002,13.2790951,77.6232692,4.65
1788571261002,13.2790556,77.6232561,4.72
1788571262002,13.2790067,77.6232401,4.82
1788571263002,13.2789466,77.6232206,4.8
1788571264002,13.2788142,77.6232132,2.96
1788571265030,13.2787327,77.6231772,2.67
1788571266002,13.2786417,77.6231412,3.29
1788571267002,13.2785408,77.6231057,3.01
1788571268002,13.2784311,77.6230685,2.54
1788571269002,13.2783091,77.6230311,2.27
1788571270002,13.2781809,77.6229887,2.32
1788571271002,13.2780426,77.6229431,2.14
1788571272002,13.2778974,77.6228922,2.06
1788571273002,13.277739,77.6228649,2.2
1788571274002,13.277583,77.6228142,2.53
1788571275002,13.2774209,77.6227615,2.2
1788571276002,13.2772538,77.6227069,2.94
1788571277002,13.277081,77.622651,2.33
1788571278002,13.2769054,77.6225943,3.51
1788571279002,13.2767181,77.6225337,4.0
1788571280002,13.2765331,77.6224739,4.2
1788571281002,13.276351,77.6224228,5.8
1788571282002,13.276171,77.6223304,2.1
1788571283002,13.2759924,77.622245,2.61
1788571284002,13.2758028,77.6221798,2.76
1788571285002,13.2756114,77.6221107,4.37
1788571286002,13.2754194,77.6220418,3.85
1788571287001,13.2752248,77.6219755,3.36
1788571288001,13.2750356,77.6219077,2.68
1788571289001,13.2748515,77.6218389,2.95
1788571290001,13.2746743,77.6217716,2.48
1788571291001,13.2744983,77.6217109,2.15
1788571292001,13.2743246,77.6216474,2.11
1788571293001,13.2741524,77.6215848,2.26
1788571294001,13.2739788,77.6215191,2.16
1788571295001,13.2738043,77.6214546,2.74
1788571296001,13.2736245,77.6213939,2.62
1788571297001,13.2734461,77.6213344,2.65
1788571298001,13.273274,77.6212723,2.33
1788571299001,13.2730914,77.6212203,2.1
1788571300001,13.2729111,77.62116,2.05
1788571301001,13.2727277,77.6211006,2.11
1788571302001,13.2725431,77.6210406,2.06
1788571303001,13.2723605,77.6209818,2.02
1788571304001,13.2721834,77.6209169,2.01
1788571305001,13.2720153,77.6208539,2.0
1788571306001,13.2718444,77.6207944,2.0
1788571307001,13.2716745,77.6207335,2.71
1788571308001,13.2715056,77.620673,2.27
1788571309001,13.2713372,77.6206122,2.09
1788571310001,13.2711792,77.6205548,2.03
1788571311001,13.27103,77.6204976,2.01
1788571312001,13.2708942,77.6204491,2.0
1788571313001,13.270772,77.6204077,2.33
1788571314001,13.2706543,77.620367,2.24
1788571315001,13.2705342,77.6203224,2.12
1788571316001,13.2704113,77.6202815,2.47
1788571317001,13.2702849,77.6202331,2.22
1788571318001,13.2701562,77.6201884,2.1
1788571319001,13.2700193,77.6201411,2.05
1788571320001,13.2698812,77.6200902,2.02
1788571321001,13.2697368,77.6200386,2.94
1788571322001,13.2695936,77.6199858,3.55
1788571323001,13.2694483,77.6199336,3.0
1788571324001,13.2693002,77.6198844,3.22
1788571325001,13.2691555,77.6198326,2.53
1788571326001,13.269014,77.619779,2.55
1788571327001,13.2688719,77.6197285,2.43
1788571328001,13.2687313,77.6196811,2.28
1788571329001,13.2685924,77.6196342,2.82
1788571330001,13.2684583,77.619586,2.53
1788571331001,13.2683291,77.6195505,2.35
1788571332001,13.268209,77.6195086,2.16
1788571333001,13.268089,77.6194671,2.54
1788571334001,13.2679733,77.6194166,2.26
1788571335001,13.2678479,77.6193711,2.67
1788571336001,13.2677193,77.619326,2.31
1788571337001,13.2675849,77.6192792,2.34
1788571338001,13.2674453,77.6192315,2.15
1788571339001,13.2673007,77.6191816,3.18
1788571340001,13.2671524,77.6191295,2.88
1788571341001,13.2670002,77.619074,2.98
1788571342001,13.2668458,77.6190164,2.38
1788571343001,13.2666871,77.6189602,2.14
1788571344001,13.266525,77.6189023,2.12
1788571345001,13.2663604,77.6188437,2.6
1788571346001,13.2661968,77.618784,3.03
1788571347001,13.2660359,77.6187244,2.36
1788571348001,13.2658758,77.6186792,2.13
1788571349001,13.2657208,77.6186243,2.69
1788571350001,13.2655632,77.6185649,2.25
1788571351001,13.2654064,77.6185073,2.09
1788571352001,13.2652496,77.6184514,2.17
1788571353001,13.2650884,77.6183933,2.33
1788571354001,13.2649312,77.6183366,2.12
1788571355001,13.2647715,77.6182735,2.04
1788571356001,13.2646091,77.6182183,2.43
1788571357001,13.2644507,77.618164,2.35
1788571358001,13.2642988,77.6181107,2.91
1788571359001,13.2641461,77.6180627,2.35
1788571360001,13.2639952,77.6180156,2.13
1788571361001,13.2638554,77.6179731,2.05
1788571362001,13.2637167,77.6179313,2.02
1788571363001,13.2635743,77.6178899,2.16
1788571364001,13.2634282,77.6178568,2.36
1788571365001,13.2632745,77.6178323,2.15
1788571366001,13.2631237,77.6178055,2.06
1788571367001,13.2629708,77.6177828,2.02
1788571368001,13.2628157,77.6177626,2.13
1788571369001,13.2626402,77.6177294,2.07
1788571370001,13.2624987,77.6177171,2.03
1788571371001,13.2623439,77.6176941,2.01
1788571372001,13.262181,77.6176741,2.0
1788571373001,13.262022,77.6176493,2.0
1788571374001,13.2618625,77.6176243,2.0
1788571375001,13.2617014,77.6176093,2.01
1788571376001,13.2615399,77.6175891,2.0
1788571377001,13.2613959,77.6175682,2.0
1788571378001,13.2612572,77.6175478,2.0
1788571379001,13.2611138,77.617523,2.65
1788571380001,13.26097,77.6175019,2.9
1788571381001,13.2608281,77.6174827,2.39
1788571382001,13.2606992,77.6174643,2.41
1788571383002,13.2605812,77.6174487,2.19
1788571384002,13.2604573,77.6174333,2.68
1788571385002,13.2603341,77.6174162,3.1
1788571386002,13.2602131,77.6173965,2.54
1788571387002,13.2600848,77.6173763,3.16
1788571388002,13.259951,77.6173588,2.54
1788571389002,13.2598134,77.6173416,2.24
1788571390002,13.259675,77.6173256,2.11
1788571391002,13.2595346,77.6173091,2.05
1788571392002,13.2593911,77.6172889,2.02
1788571393002,13.2592399,77.6172688,2.01
1788571394002,13.2590877,77.617251,2.0
1788571395002,13.2589424,77.6172351,2.0
1788571396002,13.2587982,77.6172157,2.91
1788571397002,13.2586553,77.6171966,2.58
1788571398002,13.2585131,77.6171746,2.86
1788571399002,13.2583764,77.6171523,2.52
1788571400002,13.2582521,77.6171327,2.24
1788571401002,13.2581361,77.6171164,2.11
1788571402002,13.2580193,77.6170986,2.1
1788571403002,13.2579026,77.6170887,2.05
1788571404002,13.2577848,77.6170827,2.02
1788571405002,13.257675,77.6170765,2.3
1788571406002,13.2575748,77.6170741,2.17
1788571407002,13.2574915,77.6170736,2.1
1788571408002,13.2574309,77.6170708,2.06
1788571409002,13.2573951,77.6170693,2.04
1788571410001,13.2573735,77.6170632,2.11
1788571411001,13.257353,77.6170628,2.09
1788571412001,13.2572995,77.6170594,2.07
1788571413001,13.2572392,77.6170576,2.06
1788571414001,13.2571829,77.6170606,2.09
1788571415001,13.257131,77.6170617,2.08
1788571416001,13.2570934,77.6170725,2.16
1788571417001,13.2570712,77.6171004,2.45
1788571418001,13.2570542,77.6171521,2.83
1788571419001,13.2570548,77.6172264,2.89
1788571420001,13.2570526,77.6173008,2.99
1788571421001,13.2570629,77.6173835,3.49
1788571422001,13.257071,77.6174896,3.82
1788571423001,13.2570594,77.6175785,3.13
1788571424001,13.2570535,77.6176808,2.65
1788571425001,13.2570575,77.617767,2.38
1788571426001,13.257056,77.617855,2.32
1788571427001,13.257056,77.6179479,2.48
1788571428001,13.2570556,77.6180395,2.59
1788571429001,13.2570542,77.618123,2.34
1788571430001,13.257054,77.6182077,2.42
1788571431001,13.2570573,77.6183016,2.24
1788571432001,13.2570417,77.6183996,2.14
1788571433001,13.2570472,77.6185101,2.08
1788571434001,13.2570384,77.6186212,2.1
1788571435001,13.257032,77.6187523,2.05
1788571436001,13.2570316,77.6188814,3.12
1788571437001,13.2570338,77.6190058,2.54
1788571438001,13.2570354,77.6191254,2.69
1788571439001,13.2570381,77.6192401,3.3
1788571440001,13.2570286,77.6193578,3.02
1788571441001,13.2570165,77.6194879,2.5
1788571442001,13.2570153,77.6196115,2.45
1788571443001,13.2570046,77.6197323,2.46
1788571444001,13.2569882,77.6198446,2.88
1788571445001,13.2569759,77.6199406,2.66
1788571446001,13.2569543,77.6200329,2.37
1788571447001,13.2569333,77.6201359,2.33
1788571448001,13.256907,77.6202464,2.18
1788571449001,13.2568792,77.6203602,2.12
1788571450001,13.256855,77.620481,2.06
1788571451001,13.2568284,77.6206031,2.51
1788571452001,13.2568016,77.6207231,2.25
1788571453001,13.2567756,77.6208413,2.44
1788571454001,13.2567484,77.6209636,2.26
1788571455001,13.2567233,77.6210892,3.26
1788571456001,13.256691,77.6212152,2.61
1788571457001,13.2566544,77.6213477,2.93
1788571458001,13.2566167,77.6214744,3.0
1788571459001,13.2565828,77.6216098,2.46
1788571460001,13.2565439,77.6217528,2.38
1788571461001,13.2565017,77.6219003,2.16
1788571462001,13.256458,77.6220514,2.26
1788571463001,13.2564096,77.6222048,2.12
1788571464001,13.2563666,77.6223583,2.05
1788571465001,13.2563259,77.622508,2.07
1788571466001,13.2562851,77.6226582,2.14
1788571467001,13.256244,77.6228083,2.07
1788571468001,13.2561998,77.6229544,2.03
1788571469001,13.2561564,77.6230898,2.25
1788571470001,13.2561183,77.6232207,2.31
1788571471001,13.2560821,77.6233345,2.15
1788571472001,13.256056,77.6234441,2.08
1788571473001,13.2560364,77.6235418,2.04
1788571474001,13.2560236,77.6236267,2.02
1788571475001,13.2560188,77.6236993,2.33
1788571476001,13.2560192,77.623758,2.2
1788571477001,13.2560253,77.6238159,2.15
1788571478001,13.2560303,77.6238706,2.12
1788571479001,13.2560423,77.6239318,2.1
1788571480001,13.2560602,77.6239961,2.26
1788571481001,13.256081,77.6240675,2.2
1788571482001,13.2561045,77.6241444,2.15
1788571483001,13.2561238,77.6242178,2.1
1788571484001,13.2561424,77.6242621,2.07
1788571485001,13.2561554,77.6242997,2.05
1788571486001,13.2561645,77.6243387,2.07
1788571487001,13.2561769,77.6243712,2.12
1788571488001,13.2561867,77.6244029,2.1
1788571489001,13.2562016,77.6244408,2.09
1788571490001,13.2562124,77.6244772,2.09
1788571491001,13.2562213,77.6245045,2.08
1788571492001,13.256233,77.6245316,2.11
1788571493001,13.2562451,77.6245502,2.1
1788571494001,13.256253,77.6245667,2.11
1788571495001,13.2562457,77.6245957,2.11
1788571496001,13.2562473,77.6246018,2.1
1788571497001,13.2562485,77.6246054,2.11
