timestamp_ms,lat,lon,heading_rad,std_e_m,std_n_m,cov_ee,cov_en,cov_nn
1788572150333,13.256259735881969,77.62461752815254,2.374822184820461,1.996775916760205,1.996775916760205,3.987114061753557,0.0,3.987114061753557
1788572150394,13.256259735671144,77.62461752748452,2.374836403820461,1.996789862945096,1.996789862945096,3.987169756760295,0.0,3.987169756760295
1788572150455,13.256259735585507,77.62461752667649,2.374819125820461,1.9968052829949765,1.9968052829949765,3.987231338196647,0.0,3.987231338196647
1788572150515,13.256259735518016,77.62461752573739,2.3748025358204607,1.9968203158283755,1.9968203158283755,3.9872913737049345,0.0,3.9872913737049345
1788572150576,13.256259735524994,77.62461752458171,2.37482644582046,1.99683837353078,1.99683837353078,3.98736349000505,0.0,3.98736349000505
1788572150636,13.256259735627616,77.62461752356248,2.374809945820461,1.99685592744305,1.99685592744305,3.9874335949644433,0.0,3.9874335949644433
1788572150697,13.2562597358646,77.62461752273813,2.3747752988204613,1.996873621991516,1.996873621991516,3.987504262205515,0.0,3.987504262205515
1788572150758,13.256259736225944,77.62461752259206,2.3747613908204617,1.996892762843033,1.996892762843033,3.9875807062948816,0.0,3.9875807062948816
1788572150818,13.25625973690561,77.62461752317515,2.3747599208204617,1.996911741045399,1.996911741045399,3.9876565015249663,0.0,3.9876565015249663
1788572150879,13.256259736890442,77.62461752387588,2.3748200628204614,1.9969344136042129,1.9969344136042129,3.9877470522368,0.0,3.9877470522368
1788572150939,13.256259735606958,77.62461752421859,2.3748518028204613,1.9969574131735497,1.9969574131735497,3.987838910028795,0.0,3.987838910028795
1788572151000,13.256259734669127,77.62461752502576,2.374888169820461,1.99698188159808,1.99698188159808,3.987936635431007,0.0,3.987936635431007
1788572151061,13.256259733713769,77.6246175247833,2.374875340820461,1.9970091424917455,1.9970091424917455,3.988045515195618,0.0,3.988045515195618
1788572151121,13.256259732959228,77.62461752371104,2.374876930820461,1.9970368714593263,1.9970368714593263,3.9881562659680543,0.0,3.9881562659680543
1788572151182,13.256259733177076,77.62461752295266,2.374874307820461,1.9970654616644377,1.9970654616644377,3.988270458172993,0.0,3.988270458172993
1788572151242,13.256259734097862,77.62461752251718,2.37490892782046,1.9970964498106003,1.9970964498106003,3.988394229846104,0.0,3.988394229846104
1788572151303,13.256259734842317,77.62461752196255,2.3749681008204604,1.997127486875546,1.997127486875546,3.988518198833834,0.0,3.988518198833834
1788572151364,13.256259734934234,77.62461752151998,2.3749336658204605,1.9971591887024591,1.9971591887024591,3.9886448250186657,0.0,3.9886448250186657
1788572151424,13.256259734673025,77.62461752157604,2.3749492658204616,1.9971893045989593,1.9971893045989593,3.9887651184044746,0.0,3.9887651184044746
1788572151485,13.256259734203049,77.62461752203937,2.374970452820462,1.9972186229799644,1.9972186229799644,3.988882227977985,0.0,3.988882227977985
1788572151545,13.256259733720476,77.62461752272559,2.3749378728204613,1.997248972013937,1.997248972013937,3.989003456210728,0.0,3.989003456210728
1788572151606,13.256259733294566,77.62461752331174,2.374918901820461,1.9972782914572236,1.9972782914572236,3.989120573526286,0.0,3.989120573526286
1788572151667,13.256259732726448,77.62461752366836,2.3749504698204618,1.9973075204085429,1.9973075204085429,3.9892373310805223,0.0,3.9892373310805223
1788572151727,13.25625973227658,77.6246175236679,2.374891549820462,1.9973347772269048,1.9973347772269048,3.989346212320049,0.0,3.989346212320049
1788572151788,13.256259731985402,77.62461752326885,2.3749229668204617,1.9973610758146385,1.9973610758146385,3.98945126717941,0.0,3.98945126717941
1788572151848,13.25625973172815,77.6246175228176,2.3749473868204625,1.997388647823466,1.997388647823466,3.989561410454055,0.0,3.989561410454055
1788572151909,13.256259731779544,77.62461752298975,2.3749052518204623,1.9974156631332305,1.9974156631332305,3.989669331329962,0.0,3.989669331329962
1788572151970,13.25625973178314,77.624617523688,2.374967550820462,1.99744342272608,1.99744342272608,3.9897802269916767,0.0,3.9897802269916767
1788572152030,13.256259731607743,77.6246175241546,2.374972950820462,1.997470326607809,1.997470326607809,3.989887705678708,0.0,3.989887705678708
1788572152091,13.256259731246882,77.62461752428261,2.374979478820462,1.9974971437973992,1.9974971437973992,3.989994839478769,0.0,3.989994839478769
1788572152152,13.256259731005336,77.62461752410698,2.3749771998204627,1.997524320812157,1.997524320812157,3.990103412236069,0.0,3.990103412236069
1788572152212,13.25625973090112,77.62461752404113,2.375003749820463,1.9975494267383591,1.9975494267383591,3.990203712262747,0.0,3.990203712262747
